Owner Bucket  ?,Case Number,Account Name,Subject,Description,Resolution/Root Cause,Priority,Primary CSM,Created By,Date/Time Opened,Case Age,Category,Sub-Category,Age,Business Hours Age
,214013,Chainalysis,Forecasting Query Error,"We added a new field recently, ""Renewed Opp Service End +1"".I am trying to use the following logic in our ""(Total) Renewals"" Forecasting Tab's ""Extended Service"" column but it isn't working:
""'Renewed Opp Service End +1' is ""< This Quarter""

I am still seeing instances in that column where Opportunities with a Renewed Opp Service End +1 is greater than this Quarter (See examples in screenshot)",-,Low,Andrew Seymour,Maxwell Davison,"2/21/2025, 2:52 PM",5,Forecasting,Config Discrepancy,111,39.16
,214032,"Cloudinary, Inc. and Affiliates",Forecast tab missing value,"Hi in the forecast tab can you make sure judgment upside includes all the following manager forecast categories: upside, forecast, commit and won. we are currently missing the forecast one as can be seen in the image. please make sure it is inculded for monthly and quarterly views. thanks","updated the configuration of  judgment upside column of Forecast tab and now it's  includes ""Forecast"" value in manager forecast categories field.",Low,Pooled CSM,Shir Marcus,"2/23/2025, 6:51 AM",1,Configuration,Forecast - Update,18,0
,214037,"ConnectWise, LLC",Forecast Config,"Hi Team - requesting to make a few changes to existing tabs. Here is the requirements doc https://docs.google.com/document/d/1uRYLNt8Ank0DC-OfcnHvFTiPXE0TadQJMVUa4sxHVNc/edit?tab=t.0

Please include customer contact Natali Barze in any email updates/communications.","removed the ""Stretch"" forecast columns and added the ""Forecast Gap to Go"" column next to the forecast columns as requested and updated the display format to Multiplier, which will now show the X coverage of the gap to quota..
Also updated the Closed form",High,Nico Alvarez,Nico Alvarez,"2/23/2025, 5:58 PM",4,Configuration,Forecast - Update,98,64
,214050,"Fortinet, Inc.",Add new Value in Created Date filter,"HiTeam, 

Can you please add a new Value in the Created date filter to have the last 4 quarters or the last 365 days
or last year. 
Thanks",created the Last 365 Days range filter value for creted date field,Low,Lizzie Rupp,Muhammad Majeed,"2/24/2025, 1:39 AM",6,Configuration,Field Config - Update,160,80
,214101,Phrase,Update Churn Columns and add Expansion,"Hello,

I would like to make some changes to the Renewal Forecasting section. I found a better way to track churn and will also need to track expansion.

I have attached an Excel file with the changes I want to make. Please use the ""New Renewal tab"" to see the updates that need to be made.

Satyajit was very helpful last time and is already familiar with our environment, so I would be happy to work with him again.

Thank you.",updated the Renewal Forecast tab as requested in the sheet .,P3,Pooled CSM,Manuel Passanha,"2/24/2025, 7:53 AM",3,Configuration,Forecast - Update,84,58.10277778
,214125,Rapid7,Create new Quota column in All ARR Forecast,"Hi, could someone create a new quota forecast in the All ARR forecast. You can duplicate the Goal column that is there today and name it ""User Quota"". Please place to the right of Goal.

Thank You!",We have created the new quota column under All ARR Tabs as requested .,Low,Alison Quartironi,Connor Rosenstein,"2/24/2025, 8:47 AM",3,Configuration,Forecast - Update,81,56.55416667
,214166,"GoAnimate, Inc. (d/b/a Vyond)",Forecast config updates,I'm going to need to make some significant updates to the way that my Forecast is built out. Can you please send me the excel sheet that powers my forecast tab so that I can make the necessary changes? Thank you!,"created three new tabs: Direct, Partnerships, and International.
also created the yearly quota column in Partnerships
tab.
Along with above  updated the scope and mode from Splits Mode to Opportunity Mode and changed the amount field from opportunitysp",Low,Pooled CSM,Joanna Schrank,"2/24/2025, 11:51 AM",8,Configuration,Forecast - Update,196,100.4686111
,214156,"Imperva, Inc.",Add column to Forecast tab,"Hello! On the Split TCV forecast tab, can you please add a new column, in between the Closed and Forecast columns. 
Column Name: Backlog
Field: Split Amount (TCV)
Criteria: Opp Opportunities, Stage = 6. Booking

Please let me know if you have any questions.",created a new column 'Backlog' in the 'Split TCV' tab.,P3,Lizzie Rupp,Julia Galletto,"2/24/2025, 11:18 AM",4,Configuration,Forecast - Update,106,70.685
,214179,"Couchbase, Inc.",Delete forecast tabs,"Hi,

We will no longer be using these forecast tabs. Can you please delete all 4 of these tabs today?
1.New Logo Insights
2. CQ New Logos Summary
3. CQ ARR Waterfall (beta)
4. CQ Capella Summary",We have deleted all the 4 tabs as requested,Low,Alex Ertel,Emily Nguyen,"2/24/2025, 12:40 PM",3,Configuration,Forecast - Update,77,52.67638889
,214171,"Sprinklr, Inc.",New column - Forecasting - Renewals,"Please add a new column to the renewals tab in forecast 
Name - Total Closed Won
Location - To the right of ""Closed Won - Splis""
Logic - ""Closed Won - In Quarter"" + ""Closed Won - Slips""",We have created the new calculation column as requested under the renewals tab,Low,Cortney Fickey,Annika Kallestad,"2/24/2025, 12:19 PM",0,Configuration,Forecast - Update,8,5.6675
,214201,Zendesk,Clari Default Forecasting Change Request,"Hi Clari Team - we are looking to make some adjustments to our default forecast module within Clari. We are looking to remove 3 columns and add 2 new columns. Ive attached the document covering the changes we are looking to be made. The red columns are the ones to remove with green being the new columns to add. I've also noted in red the logic that is to be changed from other/previous columns. 

Let me know if you have any questions - thank you!","created the ""Closed + VP Commit + Most Likely"" and ""New Business Pipeline"" columns and removed the three specified columns from the Forecast tab as per the sheet",Low,Chris Hughes,Maya Wensloff,"2/24/2025, 2:08 PM",2,Configuration,Forecast - Update,52,35.86527778
,214234,"AlphaSense, Inc.",Enterprise Intelligence Tab_2/24 updates,"Hi there,

AlphaSense would like to update the modes on 4 columns on their Enterprise Intelligence tab. All of the changes are highlighted in BLUE on the linked requirements sheet.","Updated the mode, amount field, and filters for the Quota and Best Case columns for both monthly and quarterly duration in the Enterprise Intelligence tab",Low,Andrew Pohlen,Ari Henck,"2/24/2025, 5:12 PM",1,Configuration,Forecast - Update,30,16.79361111
,214371,LegitScript,Closed Opportunities Listed for the Open Radio Button,"On the Enterprise Churn tab, when I select Churn Enteprise in the left side navigation, and select the OPEN Opportunities radio button, the query is including closed lost opportunities.  I looked in Studio but cannot find where those ""Total"", ""Open"", ""Closed"" radio buttons are configured.  Please advise.  See Screenshot.","Excluded the 'Close Lost' from 'Open' in the ""Churn Enterprise"" column under the ""Churn"" tab.",Low,Pooled CSM,Drew Keenan,"2/25/2025, 10:53 AM",8,Configuration,Forecast - Update,200,103.115
,214453,Augury,Augury - Duplicate Land and Expand Tab,"Hey team - Augury is requesting that we duplicate their land and expand tab but add an additional filter. They are requesting that the new tab be named 'Process Health' and that we add a filter that says 'Process health included' is checked. 

Can we create this for them? 

See snippet below:

https://copilot.clari.com/guest/sharedCall/67bec6c128722a055568d759
Password: Ci'<Nh=M>Q",We have created the new tab as requested,Low,Christopher Williams,Christopher Williams,"2/25/2025, 11:46 PM",3,Configuration,Forecast - Update,66,47.45833333
,214450,Augury,Augury - Land and Expand,"Augury is requesting that they can see the option to forecast yearly in their 'Land and Expand' tab within forecasting. Their CSM forecast tab is already set up this way for example. (Including screenshots)

Let me know if anything is needed on my end to complete this ask! 

Thank you,",We have created the quota column under the Land and Expand tab in the yearly duration similar to the CSM Tab,Low,Christopher Williams,Christopher Williams,"2/25/2025, 11:37 PM",3,Configuration,Forecast - Update,66,47.45527778
,214451,Augury,Augury - Yearly column within forecast,Hey team - Augury wants confirmation on if they can add a column to their forecasting tab for a yearly forecast. Is this possible and what are the next steps?,"Yes we can add yearly duration columns under any forecast tab

But below are the points to be noted for yearly columns

1) We can only create a quota and read only columns under yearly duration

2) We will not be able to create a forecast column and",Low,Christopher Williams,Christopher Williams,"2/25/2025, 11:39 PM",2,Configuration,Forecast - Update,42,31.34583333
,214474,Access UK Ltd.,Amending the formula in a field,"Hello! 
In the Compliance Forecast view - can the closed won formula include Revenue & Overlay please? Its currently just looking at Overlay! 

Thanks",Under the Compliance Forecast view - we have updated the  closed won formula to include Revenue & Overlay as requested .,Low,Toni Pang,Helen Boffy,"2/26/2025, 5:20 AM",1,Configuration,Forecast - Update,21,12.6825
,214500,Camunda,New Column request under Pipeline generation tab,"Hi Team,
We would like to add a new column to show the pipeline generation amount.
Could we please add under a new column named ”CQ  under:
 “Forecast”  —> “Pipeline Generation” tab
This column should be the third column right next to the ”CQ ACTUALS”.
Instead of the deal count, this field should show the amount.
Let me know if you need further details.
Thanks
Seba","created the new ""CQ ACTUALS"" column in the Pipeline Generation tab and added the  EXPANSION SUBTYPE (EXCLUDED) =
Price Increase, Contractually Agreed filter conditions in the CQ ACTUALS column",Low,Caroline McCarthy,Seba Seba,"2/26/2025, 7:29 AM",8,Configuration,Forecast - Update,189,92.68138889
,214491,Logpoint,Consumption-WIP forecast,"Hi Rohit, 

I have been updating the Consumption-WIP forecast and need some support as it looks lkike Clari administrators are still unable to add new fields or change the purpose of existing fields:

Can you add a new field 'Quota' which is a standard Quota field and must be manually entered
I have an existing field called 'Net Growth' where the value of this field must be derived from the columns 'Booked' minus 'Baseline' and it appears that Clari admin users are unable to change the purpose of fields. We need to change the field type to a Calculation field.
This has been raised under case","We have created the quota column as confirmed 
And we have made the 'booked' field in the 'Consumption - WIP' forecast view as the attainment column as confirmed .",Low,Rohit Agarwal,Mark Wilson,"2/26/2025, 6:51 AM",2,Configuration,Forecast - Update,59,42.60972222
,214530,WekaIO,Weka - Renewals Forecast,"Please remove the monthly 'Forecast' call fields from the ""Renewals"" forecast tab","We have removed the monthly 'Forecast' call fields from the ""Renewals"" forecast tab as requested",Low,Erin Martinez,Erin Martinez,"2/26/2025, 9:20 AM",1,Configuration,Forecast - Update,32,24.00222222
,214556,"Cyera US, Inc",Add Forecast tab column,"Hello, 
I don't see a way to add a forecast tab column myself in the Forecast Configuration part of Studio, so let me know if I'm missing it somewhere. Can someone please replace our Quota Coverage column with a new ""Commit Coverage"" column? The Commit Coverage column is the same exact thing as our existing Pipeline Coverage column, except change the Forecast Category filter to only include ""Commit"". Everything else should be exactly the same. Once created, the Commit Coverage should take the place of our Quota Coverage column and go to the right of our Pipeline Coverage column. Thanks and let me know if I can clarify anything","We have replaced Quota Coverage column with a new ""Commit Coverage"" column with the same exact filter criteria as the existing Pipeline Coverage column, except change the Forecast Category filter to only include ""Commit"" as requested",Low,Jason Parawan,Nathaniel Sintros,"2/26/2025, 10:20 AM",1,Configuration,Forecast - Update,20,12.39222222
,214575,Corelight,Corelight - Adding ARR as filterable for all Analyze,"Corelight has the below question about setting up a new filter for Analyze. Let me know if it is possible, and if so, please build.

Are we able to add this field as a filter for all Analyze widgets (waterfall, pulse, etc)?  It's an amount field and I want to be able to filter based on buckets, the exact same functionality as when you filter as ""Deal Size"".

Thank you,",We observed that the ARR field is already a filterable option under all the Analyze  module,Low,Christopher Williams,Christopher Williams,"2/26/2025, 12:17 PM",1,Configuration,Field Config - Update,29,21.06555556
,214674,Phrase,Adjustment Request: Change Forecasting endDayOfWeek to Tuesday,"Hello,

I recently requested a change in the forecasting endDayOfWeek to be Wednesday, but after further internal discussions, we have decided that it should be set to Tuesday instead.

Can you please make this adjustment?

Thank you.",updated the Forecasting endDayOfWeek to Tuesday,P3,Pooled CSM,Manuel Passanha,"2/27/2025, 7:09 AM",1,Configuration,Forecast - Update,18,10.845
,214667,"ConnectWise, LLC",Pipeline Coverage,"Pipeline coverage is not showing up as a multiplier despite the settings set to that. 
Also, the Total Forecast column is not showing the sum value as it should.","The Pipeline Coverage column configuration in the Summary tab is correct. However, since no quota value has been entered, the multiplier is not displaying. Once the quota value is entered, it will function as expected.

The Total Forecast calculation co",Low,Nico Alvarez,Natali Barze,"2/27/2025, 6:39 AM",5,Configuration,Forecast - Update,130,58.02333333
,214732,"Imperva, Inc.",Need to Add Stage 6 to Forecasting,"Hi there, I need to add Stage 6 opps field to Forecasting view.  The Specific views are Renewals and Renewals YTD/QTD Attainment.",-,Low,Lizzie Rupp,Brent Zakaryan,"2/27/2025, 11:04 AM",4,Configuration,Forecast - Update,102,38.03805556
,214741,"Algolia, Inc.",New Forecast Tab Changes,"Hello! 

I am working on a new forecast tab for my CEO. The tab is currently called [DRAFT Internal Operating Metrics] I need a few additional reference tabs that I am not able to do myslef in the forecast configuration for some reason.

The following are reference columns I need added.
They all are referenced from the C&C Global Forecast tab 

1. C&C Best Case Forecast
2. C&C Best Case Rate

These two columns will need to be created. They are both calculation fields.
1. Calculation: C&C Commit/Entering CARR  - Please title this column C&C Commit Rate
2. Calculation: C&C Best Case Forecast/ Entering CARR- Please title this column C&C Best Case Rate

Please let me know if you have an questions. thank you","Referred to the 'C&C Best Case Forecast' and 'C&C Best Case Rate' calculation columns from the 'C&C Global Forecast' tab and added them to the 'DRAFT Internal Operating Metrics' tab.
Additionally,  I created the 'C&C Commit Rate' and 'C&C Best Case Rate'",Low,Lizzie Rupp,Jazmine Rogers,"2/27/2025, 11:26 AM",4,Configuration,Forecast - Update,104,38.55888889
,214759,"Dataiku, Inc.",Forecasting tabs configuration,"Hello Clari team! Could you please add the following column to the 'D&C' tab - it should show the difference in Number of Opportunities:

if Quarter of Opportunity's ID Closed Date  IS DIFFERENT from Quarter of Opportunity's ID ARR Start Date THEN COUNT Opportunity ID

The name should be 'Nb of opps (Closed vs ARR Start dates)', please add it at the very end.","Created the ""Nb of opps (Closed vs ARR Start dates)"" column in the 'D&C' tab and asked customer for the clarification.
Updated the amount field and the formula filter for the 'Nb of Opps (Closed vs ARR Start Dates)' column in the 'D&C TEST TAB' tab.

u",Low,Lyuda Rogers,Inna Logunova,"2/27/2025, 12:49 PM",14,Configuration,Forecast - Update,343,165.1783333
,214760,Impact,Delete Forecast Columns,"Hi team, can you please delete the columns ""Total Planned Capacity"" and ""Gap to Capacity"" both in the quarterly and monthly sections from all tabs EXCEPT the Forecast Summary tab.","removed the columns ""Total Planned Capacity"" and ""Gap to Capacity"" both in the quarterly and monthly sections from all tabs EXCEPT the Forecast Summary tab",Low,Sarah Fagan,Sarah Fagan,"2/27/2025, 12:49 PM",6,Configuration,Forecast - Update,132,53.17611111
,214773,Recorded Future,Changing Net New Performance tab column 'Summed Churn' to adjust by selected quarter,"Hello,

Right now we have our 'Summed Churn' column on the Net New Performance tab using a date criteria of ARR Start date = This Quarter. I would like that instead to conform to the Quarters being selected in the 'This Quarter' dropdown (see screenshot). I tried adding ""__CLARI_FORMULA_DATE_RANGE__"" instead of ARR Start Date = ""This Quarter"" but it seemed to pull funny results that were way more than expectations. I'm assuming I did something wrong.

Can I get some guidance here?

 Brian","We have updated the  'Summed Churn' column on the Net New Performance tab to use  a date criteria of ARR Start date = ""__CLARI_FORMULA_DATE_RANGE__"" instead of ARR Start Date = ""This Quarter"" as requested",Low,Andrew Seymour,Brian Maher,"2/27/2025, 1:43 PM",1,Configuration,Forecast - Update,28,19.74194444
,214774,Forter,New Forecast Tab Creation,"Hi Clari,
Can we please have assistance in the creation of a new forecast tab? This can be found in the linked workbook under the title ""New Tab - YTD"". I worked with Janhavi Wagle to define requirements and build out this template. I'm unsure of the SLA for the creation of this new tab, so I've set the date at March 7, 2025. If possible, can you help me understand what the turnaround time for this ask will be? I I just want to communicate this timeline with leadership, but I recognize this may take longer.",created the new YTD Forecast tab,P3,Elizabeth Stoughton,Gabby Upson,"2/27/2025, 1:49 PM",6,Configuration,Forecast - Update,131,52.17861111
,214783,Chainalysis,"Forecasting Edit for ""Contraction"" Columns","In the ""(Total) Renewals"", ""(Public) Renewals"", ""(Private) Renewals"", and ""(Total) Renewals **UAT**"" Forecasting Tabs, we would like the ""Contraction"" column to exclude all Opportunities with Close Dates prior to February 1st 2025.

Additionally, I noticed that in the ""(Total) Renewals **UAT**"" we need a fix applied so that, similar to the solution in Case 00214013, the following statements in our query operates correctly. Support previously manually helped us correct the filter behavior:
'Close Date' is ""Clari Formula Date Range+"" 
'Renewed Opp Service End +1' is ""< This Quarter""","Applied the filter to the 'Contraction' column in the '(Total) Renewals', '(Public) Renewals', '(Private) Renewals', and '(Total) Renewals **UAT**' tabs. 
Additionally,  I have updated the 'Clari Formula Date Range+' and '< This Quarter' filter values in",Low,Andrew Seymour,Maxwell Davison,"2/27/2025, 2:18 PM",4,Configuration,Forecast - Update,101,35.69527778
,214835,"SUSE, LLC",Custom pipeline coverage table,"Hi team,

We had begun work with our CSM Toni Pang on a custom pipeline coverage tabe in forecasting. Unfortunately Toni is out sick and we need to continue progress on this initiative.

Please see below on what had been requested:

We wanted to create two custom tables in Clari (Forecast section): 

1. Show pipeline coverage by taking 4RQP vs 4RQ target and 4RQP (prior 7 days) vs 4RQP (current week) and delta between LW and CW. Please see the attached file ""dash 1""

2. Create a multiplier that shows how much pipeline we need to achieve the target vs how much pipeline we have. For this table, we need to get the pipeline number at the beginning of each quarter vs actuals (booked) in the same quarter. Multiplier (CQ SD ARM) will be the pipeline's average from each quarter vs actuals. In the last call with Toni, we agreed that we would need to input the number or upload it into Clari manually, and Clari would calculate the KPIs as per attachment ""dash 2"".

Toni and the team have already s",Created the new columns in the CQ Pipeline and NQ Pipeline tabs and updated the formula for the Coverage Calculation column in the 'Pipeline Coverage' tab.,Low,Toni Pang,Cathal Griffin,"2/28/2025, 2:51 AM",24,Configuration,Forecast - Update,574,255.1372222
,214840,Phrase,Changes to Renewal Forecast Tab in Clari (28/02/2025),"Hi,

I need to make some changes to the Renewal Forecast Tab in our forecasting environment. Please prioritize this request as it is time-sensitive.

Required Changes:

1. New Column: ""Current Renewal ARR Attainment""
Calculation: ""Won"" / ""Up for Renewal""
This should be displayed as a percentage.

2. New Column: ""Churn Risk""
Logic: Sum of all open renewals where CSM Sentiment Score is ? 10.

3. New Column: ""Expected Renewal ARR""
Calculation: ""Won + All Open Renewals"" - ""Churn Risk"" (Churn Risk is the new column from point 2).

4. New Column: ""Expected Renewal ARR Attainment""
Calculation: ""Expected Renewal ARR"" / ""Up for Renewal""
Displayed as a percentage.

Let me know if you have any questions

Best,
Manuel","created the following new columns in the Renewal Forecast tab as requested:

Current Renewal ARR Attainment
Churn Risk
Expected Renewal ARR
Expected Renewal ARR Attainment",P3,Pooled CSM,Manuel Passanha,"2/28/2025, 4:02 AM",3,Configuration,Forecast - Update,86,29.77694444
,214846,CluePoints S.A.,forecast column,"Within the BD QoQ ARR 2025 - please delete the forecast call column. We will only be using this tab for tracking against quota, not making forecast calls.",We have removed the forecast call column from the BD QoQ ARR_2025 tab as requested .,Low,Pooled CSM,Patrick Socaciu,"2/28/2025, 5:04 AM",3,Configuration,Forecast - Update,84,28.00833333
,214883,"Equinix, Inc.",Split role filter in forecast page not complete...,"Hi Team,
Looking at the Quota Bookings Attainment column in the Quota Bookings Forecast tab, it looks like the Split Role filter might be missing some selections.  We have 53 options but the filter only has 49 selected.  The expected behavior is to have 51 of the 53 options selected.  The two options that should be excluded are AE-A Former Rep - commission only and Supporting Sales Rep - commission only.  Please see screenshot.

Thanks
Ed",The Quota Bookings Attainment column in the Quota Bookings Forecast tab includes all values except AE-A Former Rep - Commission Only and Supporting Sales Rep - Commission Only for Split Role filter .,Low,Liz LeDoux Tajonar,Ed Hernandez,"2/28/2025, 8:12 AM",11,Configuration,Forecast - Update,257,105.7902778
,214884,Phrase,"Request to Hide ""Renewal Target"" and ""Closed"" in Customer Health Forecasting Tab","Hello,

Can you please hide the ""Renewal Target"" and ""Closed"" from the ""Customer Health"" Forecasting tab?

Thank you.","We have hidden the ""Renewal Target"" and ""Closed"" from the ""Customer Health"" Forecasting tab as requested",P3,Pooled CSM,Manuel Passanha,"2/28/2025, 8:13 AM",3,Configuration,Forecast - Update,73,16.58611111
,214875,Immersive Labs Corporation,New Calculation field in New + Upsell Forecast Tab,"Hi there,

I was hoping to get a new column within the Qtr section of our New+Upsell Forecast tab. 

What I would like to create is a metric called Actual Win Rate as a %. With the formula = Closed / (Closed + Closed Lost)

Many thanks
Freddie",We have created the new calculation field  under the New + Upsell Forecast Tab as requested,Low,Caroline McCarthy,Frederick Knowlton,"2/28/2025, 7:38 AM",3,Configuration,Forecast - Update,81,25.44888889
,214907,Fastly,Remove opportunities from all Clari query with a certain field value?,"Hi - I'd like to omit all opportunities from Clari Forecasting and analysis overall where the Opportunity Field ""Sales Process"" has a value of ""Non-Profit"". 
I'd also like to exclude all data coming from accounts where the account name includes ""Test"". Please let know how I can achieve this.",Clari is designed to pull all the data from salesforce and then users can apply filters on the inspect module to see relevant data and exclude any kind of opportunities that they don’t want to see.,Low,Amanda DeLuise,Rob Killian,"2/28/2025, 9:54 AM",10,Configuration,Field Config - Update,247,104.0913889
,214906,Enverus,"Add Column to Inspect - ""Price Increase %""","Hello,

We would like to request a calculated column for Inspect titled ""Price Increase %""

This would be a calculation based on the following opportunity fields:

Net Change on Account/Renewal Base ARR

opportunity.net_change_on_account__c/opportunity.renewal_base_arr__c

Since this only impacts Net ARR Type = Price Increase, could we please build logic to leave other Net ARR Types (Upgrade/New Business/Conversion/etc.) that are NOT Price Increase blank?

Happy to jump on a call to clarify. Thank you!","A calculation column can't be created under the inspect section, it can only be created in the tab using the columns available under the tab.",P3,Amanda DeLuise,Collin Fritz,"2/28/2025, 9:39 AM",7,Configuration,Forecast - Update,163,74.76777778
,214943,BNamericas,Add Calculation field for NRR in 2025 Renewals Tab,"Hello we need a calculation field added for BN Americas in their 2025 Renewals tab.

The math will look like this

Gross Renewal Rate + (Positive Price Increase + Negative Price Increase) / Retention Target

Please let me know if you have any questions on this.

Thanks,

Matt",n/a,Low,Matthew Mcginley,Matthew Mcginley,"2/28/2025, 11:46 AM",7,Configuration,Forecast - Update,172,84.33777778
,214967,Advarra,Can forecasting account for indirect deals to align to quota attainment,"Hello,

Advarra is asking if it is possible to align quota attainment to indirect deals. The best way to explain what they are looking for is to show the clip from the call.

https://copilot.clari.com/guest/sharedCall/67c22e10852ffe1685a3bb11",The CSM will open a new case during their meeting next week.,Low,Matthew Mcginley,Matthew Mcginley,"2/28/2025, 1:45 PM",9,Configuration,Forecast - Update,220,84.24222222
,214985,"AlphaSense, Inc.",New Test Tab,"AlphaSense would like to create a net new tab to test a new forecast configuration. 

The linked requirements doc is very detailed. The most complex columns are column C and P which are calculation columns to combined the standard Quota Closed Won amount with the Manager Closed Holdovers column. I was told we could use the ""showCalculationParams"": true to show the % value attainment in this column compared to the quota.

Please let me know if you have any questions about the requirements sheet.",Created the new TEST TAB tab,Low,Andrew Pohlen,Ari Henck,"2/28/2025, 3:03 PM",6,Configuration,Forecast - Update,141,60.54555556
,215096,Deque Systems,Rollback Time Machine in Waterfall,"Customer Requesting to see opp grid in the side bar of their Waterfall, instead of Time Machine. Rollback in Internal Notes.",n/a,Low,Pooled CSM,Leo Polonsky,"3/3/2025, 11:16 AM",4,Configuration,Analytics - Update,101,68.83944444
,215121,OutSystems Inc.,Renewals Timing Configuration,"Hi team, please include Sonia, the customer in your response!

Need some guidance on a filtering issue our customer OutSystems is experiencing. Here's the context:
They have a Renewals Timing tab that tracks when contracts are actually renewing vs. when opportunities are closing. Here's how it works:

Each renewal opportunity has:
A Close Date (when the deal is expected to close)
A Contract End Date (when the existing contract actually expires)
A Renewal Amount

They use this to track three scenarios for quarterly renewals:
Pushed deals (renewals from past quarters now closing this quarter)
On-time deals (contracts ending this quarter and closing this quarter)
Pulled-in deals (future quarter renewals being closed early this quarter)

The Issue:

They have a ""Total"" column showing all opportunities with close dates in the current quarter
However, some opportunities are missing the Contract End Date field
Sonia tried to create a filter only to show opportunities where ",Created a filter with the value 'Contract End Date = No Date Assigned' and applied it to the 'Total Renewable ARR CQ' column in the 'Renewal Timing' tab.,Low,Caitlin Stone,Caitlin Stone,"3/3/2025, 12:50 PM",4,Configuration,Forecast - Update,86,54.05666667
,215115,Bugcrowd Inc.,Summary Tab,"Hi Team,

We currently have our reps entering their forecasts on the new business and renewal tab and then myself and my team need to manually populate the summary tab. Is it possible to have the summary tab calculate/auto populate based on what is on the new business and renewals forecast tab. I believe in the past our Clari rep said that we could do that but it would be reference fields that we cannot edit, if that is the case we are ok to move forward with reference fields.

Thanks!","referenced the Commit, Best Case, and Most Likely columns from the New Business and Renewals Forecast tabs and made them hidden. These hidden columns are then used as composites for the Commit, Best Case, and Most Likely columns in the Summary Forecast ta",Low,Sarah Fagan,Libby Gorfine,"3/3/2025, 12:31 PM",9,Configuration,Forecast - Update,222,117.4780556
,215132,Cognite AS,Advanced Filters,"Hi! 

Would it be possible to add an or statement to the filters? We need to add a filter to our existing pipeline generation tab that would count any first sale deal type towards pipeline generation, but would only count upsell deal types if they were in stage 2+.",The customer implemented the changes independently.,Low,Said Mussa,Kharina Pineda,"3/3/2025, 1:29 PM",6,Configuration,Forecast - Update,132,68.51083333
,215138,"Lakeside Software, LLC",Partner Manager Tab Issue,"Referencing case 00211815

Need to change the Partner Manager tab to ""Partner Manager"" Mode instead of the Products Mode. Customer wants Partner Manager tab to be able to show all opportunities, regardless of owner, who roll up to certain partner managers.",Updated the 'Partner Manager' mode for the 'Partner Manager' tab and used the 'opportunity.acv_amount_new__c' (ACV Amount) as the amount field for all the columns in the tab.,Low,Tyler Jass,Tyler Jass,"3/3/2025, 2:19 PM",2,Configuration,Forecast - Update,53,35.68055556
,215144,Brightly Software,Integrations to Establish,"Hello!
We need to complete the integrations to Clari from the following tools:

Salesloft
Chorus.ai
Marketo

I was told to submit a ticket to get this started & completed. I have CC'd our Sales Operations Program Manager to assist in this request. Thank you!",We have created the Chorus.ai & Salesloft. according to the screenshot shared,Low,Said Mussa,Ashley Moralez,"3/3/2025, 3:45 PM",29,Configuration,Signals - Update,698,338.24
,215191,"Intercom, Inc.",New Column and Tabs,"Hi Team,

Can I please have one new column and 2 new tabs created?

- New Column: create a new column named as ""New Logo Actual"" in the current AE tab, as highlighted as red in the excel file attached.
- AE Fin: create a new Clari tab named as AE Fin, as per ""AE Fin -To Clari tab"" in the file attached, please leave the green columns as blank because we'll need those data to come from Snowflake.
- RM FIn: create a new Clari tab named as RMFin, as per ""RM Fin -To Clari tab"" in the file attached, please leave the green columns as blank because we'll need those data to come from Snowflake.

Please note, for the new tabs created, can you please make it visible to only Sales Ops profile users?

Regards,
Leo","Created the 'New Logo Actual' column in the 'AE' tab and also created the 'AE Fin' and 'RM Fin' tabs as per the attached sheet.
Provided access to the new tabs for Dard Hunter, Calvin Hu, Felix Gubert Sarda, Eva Abbott, Lakshika Eaton, and you as well.",Low,Tyler Jass,Leo Zhang,"3/4/2025, 3:24 AM",3,Configuration,Forecast - Update,89,62.58638889
,215205,"Medallia, Inc.",Update PSS Forecast tabs,"Hello,
following a change in our leadership I would need your support in the following:
- updating the columns in the existing PSS forecast tab (see attachment 1)
- creating a new tab under the PSS Forecast page called - Forecast Test (see attachment 2)
Happy to jump on a call to clarify requirements.
Thanks!","updated the PSS Forecast tab and created the new Forecast Test tab in S1 - Medallia Sandbox.

However, we are unable to validate the changes as we are not able to impersonate the sandbox.",Low,Ari Henck,Filippo Rocchi,"3/4/2025, 5:44 AM",7,Configuration,Forecast - Update,163,76.26083333
,215213,"Dataiku, Inc.",Change columns,"Hello Clari team! Could you please add the following condition to the column 'Number of Champions w/o NBM>20K' on the 'Pipeline Generation' tab: 
NBM Booked = NOT CHECKED

Thank you!",added NBM Booked = NOT CHECKED filter conditions to 'Number of Champions w/o NBM>20K' column on the 'Pipeline Generation' tab,Low,Lyuda Rogers,Inna Logunova,"3/4/2025, 6:53 AM",5,Configuration,Forecast - Update,115,59.11277778
,215249,Virtana,Need to Combine New and Expansion Tabs to align with FY26 GTM,"I need to combine the New and Expansion tabs to align with our FY26 GTM.  I was just made aware of this request yesterday, sorry for short notice but I would like someone to show me how to make this change ASAP this week.   Screenshot attached showing which tabs.","created  New & Expansion,New & Expansion Annual,
New & Expansion - TCV and New & Expansion Annual - TCV which combines the New and Expansion tabs. and hidden the individual New and Expansion tabs for each group.",Low,Pooled CSM,Dana DeForge-Skrabak,"3/4/2025, 8:36 AM",2,Configuration,Forecast - Update,58,41.38361111
